company_name,report_url,year
Atlassian Corporation Plc,https://wac-cdn.atlassian.com/dam/jcr:5dbbbd09-355e-49b9-a486-604b0626b881/Atlassian%20Sustainability%20Report%20FY21.pdf?cdnVersion=472,2021
Aurubis AG,https://www.aurubis.com/en/dam/jcr:4b29d635-95c1-4ba9-ba8e-ec8578055d3c/Aurubis_Non%20Financial%20Report_FY%2020_21.pdf,2020
"Autodesk, Inc.",https://damassets.autodesk.net/content/dam/autodesk/www/sustainability/docs/pdf/autodesk-fy2022-impact-report.pdf,2021
Autoliv Inc,https://www.autoliv.com/sites/default/files/2022-03/202202227484-1.pdf,2021
Axiata Group Berhad,https://sustainability.axiata.com/wp-content/uploads/2022/04/Axiata-SNCR2021.pdf,2021
Azul S.A,https://api.mziq.com/mzfilemanager/v2/d/ed78542a-4e01-429a-8926-03d69ccfa307/f27a8abf-d50f-129a-b05e-6af76660a595?origin=2,2021
Babcock International Group PLC,https://www.babcockinternational.com/wp-content/uploads/2022/08/1.-BABCOCK-2022-AR-WEB_-1.pdf,2021
BAE Systems PLC,https://www.baesystems.com/en-media/uploadFile/20220331150007/1573673047664.pdf,2021
Balfour Beatty,https://www.balfourbeatty.com/media/319342/balfour-beatty-annual-report-and-accounts-2021.pdf,2021
BARRATT DEVELOPMENTS PLC,https://www.barrattdevelopments.co.uk/building-sustainably/performance-data/data,2021
BAT,https://www.bat.com/group/sites/UK__9D9KCY.nsf/vwPagesWebLive/DOAWWEKR/$file/BAT_ESG_Report_2021.pdf?open&v=1,2021
Bayer AG,https://www.bayer.com/sites/default/files/2022-03/Bayer-Sustainability-Report-2021.pdf,2021
BCE inc.,https://www.bce.ca/responsibility/key-documents/2021-energy-greenhouse-gas.pdf,2021
"BD (Becton, Dickinson & Company)",https://www.bd.com/content/dam/bdcom-assets/en/en-us/documents/policies-guidelines-and-statements/reports/BD_2021_ESG_Report.pdf,2021
Beiersdorf AG,https://www.beiersdorf.com/~/media/Beiersdorf/sustainability/reporting/sustainable-reporting/2022/Beiersdorf-NFE-EN-2021.pdf,2021
"Berry Global Group, Inc.",https://www.berryglobal.com/-/media/berry/files/sustainability-resources/berry-impact-report-2021v4.ashx,2021
Bharti Airtel Limited,https://assets.airtel.in/teams/simplycms/web/docs/Airtel-Integrated_Report_and_Annual_Financial_Statements_2022.pdf,2021
Biogen Inc.,https://www.biogen.com/en_us/esg-data-table.html,2021
BMW Group,https://www.bmwgroup.com/en/report/2021/downloads/BMW-Group-Report-2021-en.pdf,2021
Booz Allen Hamilton Holding Corporation,https://www.boozallen.com/content/dam/home/docs/corp/esg/fy2021-greenhouse-gas-emissions-report.pdf,2021
Boral Limited,https://boral.com/sites/corporate/files/media/field_document/Sustainability-Report-2022.pdf?_ga=2.43716908.845178300.1666181789-1510312723.1666181789,2021
Boston Consulting Group,https://media-publications.bcg.com/bcg-2021-annual-sustainability-report-apr-2022.pdf,2021
Boston Scientific Corporation,https://www.bostonscientific.com/content/dam/bostonscientific/corporate/corporate-responsibility/performance-report/2021_boston_scientific_performance_report.pdf,2021
Brambles,https://www.brambles.com/Content/cms/sustainability-2021/documents/Brambles_Sustainability_Review_2021.pdf,2021
Brown-Forman,https://www.brown-forman.com/sites/default/files/team_resources/2021-08/F20%20Brown%20Forman%20GHG%20Verification%20Statement.pdf,2020
BT,https://www.bt.com/bt-plc/assets/documents/digital-impact-and-sustainability/our-approach/our-policies-and-reports/bt-carbon-reduction-plan.pdf,2021
Bunzl plc,https://www.bunzl.com/media/5ppm42dv/tcfd-statement_2021.pdf,2021
Burberry Plc,https://www.burberryplc.com/content/dam/burberry/corporate/oar-site-updates/documents/Burberry_2021-22_Annual_Report.pdf,2021
BUREAU VERITAS,https://group.bureauveritas.com/sites/g/files/zypfnx196/files/media/document/Bureau-Veritas_2021_Universal_Registration_Document_vFinal.pdf,2021
Capgemini SE,https://www.capgemini.com/wp-content/uploads/2021/12/Environmental-Sustainability_Report-2021-FINAL-November.pdf,2020
Capita Plc,https://www.capita.com/sites/g/files/nginej291/files/acquiadam/2021-03/capita-responsible-business-report-2020.pdf,2020
"Cardinal Health, Inc.",https://www.cardinalhealth.com/en/about-us/corporate-citizenship/environmental-sustainability/recycling-and-responsible-waste-management.html,2021
Carlsberg Group,https://www.carlsberggroup.com/media/48860/carlsberg-group-esg-report-2021.pdf,2021
Carrefour,https://www.carrefour.com/sites/default/files/2021-06/Carrefour%20-%20Sustainability-Linked%20Bond%20Framework%20%281%29.pdf,2019
CELLNEX TELECOM S.A.,https://www.cellnex.com/app/uploads/2022/06/Cellnex_2021-Environment-and-Climate-Change-Report-4.pdf,2021
"CEMEX, S.A.B de C.V.",https://www.cemex.com/documents/20143/57102208/IntegratedReport2021.pdf,2021
CEZ Group,https://www.cez.cz/webpublic/file/edee/esg/documents/sustainability-reports/sustainability-report-2021.pdf,2021
"Charles River Laboratories, Inc.",https://www.criver.com/sites/default/files/noindex/corporate/cr-esg-performance-data-2021.pdf,2021
CHIMEI CORPORATION,https://ec.chimei.com.tw/apis/filestorage/files/display/62a14c522c461e04d7f1b4c3,2020
Chocoladefabriken Lindt & Sprüngli AG,https://www.lindt-spruengli.com/amfile/file/download/id/6775/file/Lindt-Spruengli-Sustainability-Report-2021.pdf,2021
"Cisco Systems, Inc.",https://www.cisco.com/c/m/en_us/about/csr/esg-hub/environment/scope-1-2-ghg-emissions.html,2021
Coca-Cola HBC,https://www.coca-colahellenic.com/content/dam/cch/us/documents/investors-and-financial/results-reports-and-presentations/2022/FY2021/coca-cola-hbc-2021-gri-content-index.pdf.downloadasset.pdf,2021
Cogeco Inc.,https://cdn.corpo.cogeco.com/cca/9616/3839/2884/Cogeco_ClimateActionPlanandTCFDreport_2021_EN_F.pdf,2021
Cognizant,https://www.cognizant.com/us/en/documents/2021-esg-report.pdf,2021
Colgate Palmolive,https://www.colgatepalmolive.com/content/dam/cp-sites/corporate/corporate/common/pdf/sustainability/colgate-palmolive-sustainability-key-performance-indicators-kpi-2021.pdf,2021
Colliers International,https://www.colliers.com/-/media/files/global/esg/colliers-2021-global-impact-report-final-may-2022.ashx,2021
Compass Group UK&I,https://www.compass-group.com/content/dam/compass-group/corporate/sustainability-updates-2022/com_sustainability_report_2021_Final.pdf,2021
Computacenter,https://www.computacenter.com/docs/default-source/netzero/computacenter-sustainability-report-2021.pdf,2021
Croda International,https://www.croda.com/mediaassets/files/corporate/ar-and-sr-files-2021/croda-sustainability-report-2021.pdf?la=en-GB,2021
"Crown Holdings, Inc.",https://www.crowncork.com/sites/default/files/Crown_2021-Sustainability-Report.pdf,2021
Crystal International Group,https://www.crystalgroup.com//static/media/1650536440589_ViWPGVXH3L.pdf,2021
Cummins,https://www.cummins.com/sites/default/files/2022-08/2020-21-cummins-sr-progress-report-08032022.pdf,2021
Currys plc,https://www.currysplc.com/media/nh5fpsm1/36166-dcw_sustainablebusiness-aw-dc.pdf,2021
Cushman & Wakefield,https://cw-gbl-gws-prod.azureedge.net/-/media/cw/global/about-us/esg-sustainability/cw-2021-esg-report.pdf?la=en&rev=1f850b4b30954691a048276120a1bec5&hash=54D59A064AA333694DB1CCB1F3B3C787,2021
CVS Health,https://www.cvshealth.com/sites/default/files/cvs-health-esg-report-appendix-2021.pdf,2021
"Daiwa House Industry Co., Ltd.",https://www.daiwahouse.co.jp/sustainable/csr/pdfs/2022/en_Sustainability_All.pdf,2021
Dana Incorporated,https://www.dana.com/globalassets/resource-library/corporate/dana-sustainability-and-socialresponsibility-2021.pdf,2021
Danone,https://www.danone.com/content/dam/danone-corp/danone-com/investors/en-sustainability/reports-and-data/planet/danone2021environmentaldatav2.pdf,2021
Dassault Systèmes,https://investor.3ds.com/system/files-encrypted/nasdaq_kms/assets/2022/04/01/4-08-51/3DS_2021_URD_31032022.pdf,2021
DECATHLON,https://drive.google.com/file/d/1KUGsHaQdNZrr8qmZ346z3kZLnTg--2FM/view?usp=sharing,2021
Dell Technologies,https://www.delltechnologies.com/asset/en-us/solutions/business-solutions/briefs-summaries/delltechnologies-fy22-esg-report.pdf,2021
Deloitte,https://www2.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/about-deloitte-global-report-full-version-2022.pdf,2021
Delta Air Lines,https://www.delta.com/content/dam/delta-www/about-delta/corporate-responsibility/2021-esg-report.pdf,2021
Delta Electronics Inc.,https://filecenter.deltaww.com/about/download/2021_Delta_ESG_Report_EN.pdf,2021
Demant A/S,https://www.demant.com/sustainability/sustainability-report,2021
Dentsu International,https://assets-eu-01.kc-usercontent.com/7bf8ef96-9447-0161-1923-3ac6929eb20f/87c2180a-3d3c-49f8-bf7c-a2be2063e184/Dentsu_Social%20Impact%20Report%202021_full.pdf,2021
Deutsche Post DHL Group,https://www.dpdhl.com/content/dam/dpdhl/en/media-center/investors/documents/annual-reports/DPDHL-2021-Annual-Report.pdf,2021
Deutsche Telekom AG,https://www.cr-report.telekom.com/2021/sites/default/files/pdf/cr_en_2021_dt_final.pdf,2021
Diageo,https://media.diageocms.com/diageo-corporate-media/media/gofp3ep0/diageo_esg_reporting-index_2022.pdf,2021
DMG Mori Aktiengesellschaft,https://en.dmgmori-ag.com/resource/blob/631334/821fbc476cbe398a87f6023e92735cb7/dmgmorisr21e-data.pdf,2021
Domino's Pizza Group plc,https://investors.dominos.co.uk/system/files/uploads/financialdocs/dpg-2021-annual-report.pdf,2021
DP World,https://www.dpworld.com/-/media/project/dpwg/dpwg-tenant/corporate/global/media-files/investor-relations/esg/2021/dpw-esg-report-2021.pdf?rev=39bbdcf813a94b07a78e23c62d69a5dd,2021
Dr. Reddy's Laboratories Limited,https://www.drreddys.com/cms/cms/sites/default/files/2022-04/sustainability-report-fy-2020-21.pdf,2021
Drax Group,https://www.drax.com/wp-content/uploads/2022/03/Drax_AR2021_2022-03-07.final_.pdf,2021
DS Smith,https://www.dssmith.com/globalassets/corporate/sustainability/sustainability-report-databook-2022/2021-22-sustainability-report.pdf,2021
Dürr AG,https://www.durr-group.com/fileadmin/durr-group.com/Sustainability/Downloads/duerr-sustainability-report-2021-EN.pdf,2021
easyJet plc,https://corporate.easyjet.com/~/media/Files/E/Easyjet/pdf/investors/results-centre/2021/annual-report-2021.pdf,2021
Eaton Corporation,https://www.eaton.com/content/dam/eaton/company/sustainability/files/eaton-tcfd-disclosure.pdf,2021
Ecolab,https://s24.q4cdn.com/931105847/files/doc_downloads/2022/Ecolab-2021-Corporate-Responsibility-Report.pdf,2021
EDF (Electricité de France),https://www.edf.fr/sites/groupe/files/2022-03/edf-2021-universal-registration-document.pdf,2021
"El Corte Inglés, SA.",https://www.elcorteingles.es/recursos/informacioncorporativa/doc/portal/2017/07/19/non-financial-statement-2021.pdf,2021
Elisa Corporation,https://static.elisa.com/v2/image/2tqybbhjs47b/1SEcjGdM4B8KoOCbLSWU7p/Elisa-Sustainability-Report-2021.pdf?_ga=2.237562240.1685468028.1665636266-1082916296.1665636266,2021
Emmi Group,https://downloads.emmi.com/app/uploads/emmi-portal/Emmi-Sustainability-Report-2020.pdf,2020
En+ Group,https://enplusgroup.com/upload/iblock/b35/ex7uo1x4ruqe64k9te8t2carlp7qlymk/En_CSR21_Book_EN.pdf,2021
Enel S.p.a.,https://www.enel.com/content/dam/enel-com/documenti/investitori/sostenibilita/2021/sustainability-report_2021.pdf,2021
ENGIE,https://www.engie.com/sites/default/files/assets/documents/2022-03/Databook_ESG_2021.pdf,2021
Epiroc AB,https://www.epirocgroup.com/content/dam/epiroc/corporate/documents/investors/annual-report/2022/Annual%20and%20Sustainability%20Report%202021.pdf,2021
Essity AB,https://masdpstatic.azureedge.net/essity/8fe54e3f-ec63-442f-91b4-600d6449b2c2%2FEssity_Annual%20and%20Sustainability%20Report%202021_220302.pdf,2021
"Etsy, Inc.",https://s22.q4cdn.com/941741262/files/doc_downloads/2021-SASB-TCFD-Disclosures.pdf,2021
"Facebook, Inc.",https://sustainability.fb.com/wp-content/uploads/2022/06/Meta-2021-Sustainability-Report.pdf,2021
Fast Retailing,https://www.fastretailing.com/eng/sustainability/report/pdf/databook2021_eng.pdf,2021
Faurecia,https://www.faurecia.com/sites/groupe/files/documents/FAU_URD_EN_PDF.pdf,2021
FirstGroup PLC,https://www.firstgroupplc.com/~/media/Files/F/Firstgroup-Plc/FirstGroup-2022-EPR-FINAL.pdf,2021
Flutter Entertainment plc,https://www.flutter.com/media/dvvn0ith/flutter-entertainment-plc-annual-report-2021.pdf,2021
FMC Corporation,https://www.fmc.com/sites/default/files/2022-07/FMC-7176%202021%20Sustainability%20Report%20Digital_Final_2_0.pdf,2021
Ford Motor Company,https://corporate.ford.com/content/dam/corporate/us/en-us/documents/reports/esg-data-book.pdf,2021
Gap Inc.,https://gapinc-prod.azureedge.net/gapmedia/gapcorporatesite/media/images/values/sustainability/documents/2022/data-tables-2022.pdf,2021
GEA Group Aktiengesellschaft,https://www.gea.com/en/binaries/sustainability-report-2021_tcm11-103140.pdf,2021
General Mills,https://globalresponsibility.generalmills.com/images/General_Mills-Global_Responsibility_2022.pdf,2021
General Motors,https://www.gmsustainability.com/_pdf/resources-and-downloads/ESG_Data_Center.pdf,2021
Genpact,https://website-files.genpact.com/downloadable-content/insight/genpact-sustainability-report-2021.pdf,2021
Givaudan SA,https://integratedreport.givaudan.com/sites/givaudanweb.oar/files/2022-01/GIV_2021_GRISustainabilityReport.pdf,2021
Google,https://www.gstatic.com/gumdrop/sustainability/google-2022-environmental-report.pdf,2021
Group SEB,https://webapp.sebgroup.com/mb/mblib.nsf/alldocsbyunid/44DC29E047E8FABDC12587F7002A8F15/$FILE/annual_report_2021.pdf,2021
Groupe iliad,https://iliad-strapi.s3.fr-par.scw.cloud/ENG_DPEF_2021_279ef0164e.pdf,2021
GROUPE RENAULT,https://renaultgroup.publispeak.com/climate-report-2021/article/1/,2020
GSK,https://www.gsk.com/media/7473/esg-performance-report-2021.pdf,2021
"Guess?, Inc.",https://static1.squarespace.com/static/609c10ed49db5202181d673f/t/60faf8af82418f5da4778f6f/1627060411937/GUESS+FY20-21+Sustainability+Report.pdf,2021
"H.U. Group Holdings, Inc.",https://www.hugp.com/en/csr/esg.html,2021
HeidelbergCement AG,https://www.heidelbergcement.com/sites/default/files/2022-06/220529-HC-NB-2021-EN.pdf,2021
Henkel AG & Co. KGaA,https://www.henkel.com/resource/blob/1616952/56b3f141043a2c60ca1743c8255f5f26/data/2021-sustainability-report.pdf,2021
Hertz,https://images.hertz.com/pdfs/Hertz-2019-Corporate-Responsibility-Report.pdf,2019
Hewlett Packard Enterprises,https://assets.ext.hpe.com/is/content/hpedam/documents/a50006000-6999/a50006143/a50006143enw.pdf,2021
"Hitachi, Ltd.",https://www.hitachi.com/sustainability/download/pdf/en_sustainability2022_print.pdf,2021
Holcim Ltd.,https://www.holcim.com/sites/holcim/files/2022-04/25022022-sustainability-performance_fy_2021_report-en.pdf,2021
Holmen AB,https://www.holmen.com/globalassets/holmen/arsstamma-arsredovisning-och-kvartalsrapporter/holmen-annual-report-2021.pdf,2021
"Hon Hai Precision Inc. Co., Ltd.",https://www.foxconn.com/s3/reports/CSR/EN/2021/HonHai_2021_Sustainability%20Report_EN.pdf,2021
HP Inc.,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c05154919,2021
Hugo Boss AG,https://group.hugoboss.com/fileadmin/media/pdf/sustainability/sustainability_reports_EN/HUGO_BOSS_Sustainability_Report_2021.pdf,2021
Husqvarna AB (publ),https://www.husqvarnagroup.com/sites/default/files/2022-05/Sustainovate_report_2021_220330_highres.pdf,2021
Iberdrola,https://www.iberdrola.com/documents/20125/1606413/gsm22_IA_SustainabilityReport2021.pdf,2021
ICA Gruppen,https://www.icagruppen.se/globalassets/3.-investerare/5.-rapporter/arkiv---finansiellt/engelska/2022/02.-annual-report-2021/icagruppen-annual-report-2021.pdf,2021
"Illumina, Inc.",https://www.illumina.com/content/dam/illumina-marketing/documents/company/illumina-csr-report-2022.pdf,2021
IMI,https://www.imiplc.com/sites/imi-corp-rev2/files/2022/imi_ar_2021.pdf,2021
Imperial Brands,https://www.imperialbrandsplc.com/content/dam/imperialbrands/corporate2022/documents/sustainability/FY2021/social-performance-data-2021.pdf.downloadasset.pdf,2021
Informa plc,https://www.informa.com/globalassets/documents/sustainability/reporting/2021/informa-sustainability-kpis-summary-data-table-2016-2021.xlsx,2021
Ingka Group,https://www.ingka.com/static/data-and-progress-fy-21.pdf,2021
International Flavors & Fragrances Inc.,https://www.iff.com/sites/iff-corp/files/p8577-esg-report-2021-v5-reduced.pdf,2021
Interpublic Group,https://esg.interpublic.com/wp-content/uploads/2022/06/IPG-ESG-Report-2021-FINAL.pdfhttps://esg.interpublic.com/wp-content/uploads/2022/06/IPG-ESG-Report-2021-FINAL.pdf,2020
"Interpublic Group of Companies, Inc.",https://esg.interpublic.com/wp-content/uploads/2022/06/IPG-ESG-Report-2021-FINAL.pdfhttps://esg.interpublic.com/wp-content/uploads/2022/06/IPG-ESG-Report-2021-FINAL.pdf,2020
Intertek Group plc,https://intertek-cdn.s3.amazonaws.com/ar2021/assets/pdf/Intertek_ARA21_Sustainability_Report.pdf,2021
Intuit,https://www.intuit.com/oidam/intuit/ic/en_us/content/intuit-cr-report-2021-icom.pdf,2020
ITV,https://www.itvplc.com/~/media/Files/I/ITV-PLC/download/itv-social-purpose-report-2021.pdf,2021
J Sainsbury plc,https://www.about.sainsburys.co.uk/~/media/Files/S/Sainsburys/CRS%20Policies%20and%20Reports/Sainsburys%20Plan%20for%20Better%202021-22%20Sustainability%20Update/Sainsburys%20Plan%20for%20Better%202021-22%20Sustainability%20Update.pdf,2021
Jacobs,https://www.jacobs.com/sites/default/files/2022-07/Jacobs-FY21-ESG-Disclosures_v2July22-FINAL.pdf,2021
Jaguar Land Rover,https://media.jlrms.com/2022-08-17/pdf/fc7997d8-3f60-4605-b6d8-22b6cfa54e9a/Jaguar%20Land%20Rover%20Annual%20Report%20FY2022.pdf?VersionId=kTEGFM.Pj3mRmGd05pCX9CZxWEx6R2Bj,2021
JBS,https://jbs.com.br/wp-content/uploads/2022/08/-sustainability-in-report-jbs-2021.pdf,2021
JD Sports Fashion PLC,https://www.jdplc.com/sites/jd-sportsfashion-plc/files/2022-06/final-annual-report-2022.pdf,2021
"JinkoSolar Holding Co., Ltd","https://jinkosolarcdn.shwebspace.com/uploads/7.8%20JinkoSolar%20Co.,%20Ltd.%20Environmental,%20Social%20and%20Governance(ESG)%20Report%202021.pdf",2021
John Lewis Partnership,https://www.johnlewispartnership.co.uk/content/dam/cws/pdfs/Juniper/ARA-2022/John-Lewis-Partnership-plc-Annual-Report-and-Accounts-2022.pdf,2021
Johnson & Johnson,https://healthforhumanityreport.jnj.com/reporting-hub/esg-performance-data,2021
Johnson Controls,https://www.johnsoncontrols.com/-/media/jci/corporate-sustainability/reporting-and-policies/2022/report/hq2203001_2022-sustainability-report_5_12-04-2022_web.pdf?la=en&hash=85D087FAAE043DB40DDEFBFC3C284C8BA16D275E,2021
Johnson Matthey Plc,https://matthey.com/documents/161599/486048/Johnson+Matthey+-+Annual+Report+and+Accounts+2022.pdf/6e0c0d7d-7f21-0e5f-7746-fc46b1f16fc2?t=1655145102904,2021
Jungheinrich AG,https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/935524/a05be293fa008c1af7edae272f3c5bd1/annual-report-2021-data.pdf,2021
KAO Corporation,https://www.kao.com/content/dam/sites/kao/www-kao-com/global/en/sustainability/pdf/sustainability2022-e-all.pdf,2021
Kesko Corporation,https://www.kesko.fi/globalassets/03-sijoittaja/raporttikeskus/2022/q1/kesko_annual_report_2021_sustainability.pdf,2021
Kier Group plc,https://www.kier.co.uk/media/6966/kier-2021-ara-final.pdf,2021
Kingfisher,https://www.kingfisher.com/content/dam/kingfisher/Corporate/Images/Other/2022/Kingfisher-plc-2021-22-Annual-Report.pdf.downloadasset.pdf,2021
Kirin Holdings Co Ltd,https://www.kirinholdings.com/en/investors/files/pdf/environmental2021e.pdf,2020
Klöckner & Co,https://www.kloeckner.com/en/sustainability/kloeckner-takes-action-2040.html,2020
Koninklijke Ahold Delhaize N.V.,https://www.aholddelhaize.com/sustainability/climate-impact/,2021
Koninklijke KPN NV (Royal KPN),https://ir.kpn.com/download/companies/koninkpnnv/Results/KPN_Integrated_Annual_Report_2021.pdf,2021
KPMG UK LLP,https://assets.kpmg/content/dam/kpmg/uk/pdf/2022/02/uk-members-report-and-financial-statements-2021.pdf,2021
La Poste SA,https://le-groupe-laposte.cdn.prismic.io/le-groupe-laposte/98e7b361-d528-492a-b360-b3e4d06054af_GLP_2021_RSE_+EN+-+ecobook.pdf,2021
Lendlease,https://www.lendlease.com/us/-/media/llcom/sustainability-2019/data-and-basis-of-preparations/global-sustainability-framework--fy21-environmental-data-and-summary-basis-of-preparation.pdf,2021
Lenzing AG,https://www.lenzing.com/?type=88245&tx_filedownloads_file%5bfileName%5d=fileadmin/content/PDF/04_Nachhaltigkeit/Nachhaltigkeitsberichte/EN/NHB_2021_EN.pdf,2021
Levi Strauss & Co.,https://www.levistrauss.com/wp-content/uploads/2021/09/LSCo.-2020-Sustainability-Report.pdf,2020
Logitech,https://www.logitech.com/content/dam/logitech/en/sustainability/pdf/resources/fy22-impact-report-portrait.pdf,2021
Lojas Renner S.A.,https://www.lojasrennersa.com.br/en/wp-content/uploads/2022/09/Annual-report-2021.pdf,2021
Lundbeck A/S,https://www.lundbeck.com/content/dam/lundbeck-com/masters/global-site/pdf/Sustainability_Report_2021.pdf.coredownload.pdf,2021
Mace,https://mc-1bee7015-25f8-4470-9de6-1841-cdn-endpoint.azureedge.net/-/media/Mace%20Dotcom%20/Files/About%20Us/Financial/2020/Mace%20ESG%202020%20report,2020
ManpowerGroup Inc.,https://resources.manpowergroup.com/story/working-to-change-the-world-2021/page/7/7?_ga=2.194712169.551560003.1658178625-258072508.1658178625,2020
Marks and Spencer Group plc,https://corporate.marksandspencer.com/msar2022/sustainabilityreport2022.pdf,2021
Marriott International,http://serve360.marriott.com/wp-content/uploads/2021/09/2021_Serve_360_Report.pdf,2020
"Mars, Incorporated",https://www.mars.com/sites/g/files/jydpyr316/files/2022-05/CDP_Climate_Change_Questionnaire_2021_FINAL.pdf,2020
Mastercard,https://www.mastercard.com/content/dam/public/mastercardcom/na/global-site/documents/mastercard-sustainability-report-2021.pdf,2021
McDonald's Corporation,"https://corporate.mcdonalds.com/corpmcd/our-purpose-and-impact/our-planet/climate-action.html#:~:text=Our%20Performance,-The%20figures%20below&text=McDonald's%20has%20committed%20to%20evolve,our%20global%20operations%20by%202050.",2021
"Meiji Holdings Co., Ltd.",https://www.meiji.com/global/sustainability/esg/pdf/esg.pdf,2021
Mettler-Toledo International Inc.,https://www.mt.com/dam/sustainability/crr-2022/METTLER_TOLEDO-Corporate_Responsibility_Report_H_2022.pdf,2021
Michelin,https://www.michelin.com/wp-content/uploads/sites/2/2022/04/Michelin_2021_DEU_US.pdf,2021
Microsoft Corporation,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4RwfV,2021
Mitie,https://www.mitie.com/wp-content/uploads/2022/06/Annual-Report-2022.pdf,2021
